      Energy	InelasticMFP
        (eV)	        (nm)
2.041738e-02	4.369668e+03
2.089296e-02	2.832914e+03
2.137962e-02	2.208028e+03
2.187762e-02	1.853081e+03
2.238721e-02	1.619558e+03
2.290868e-02	1.452418e+03
2.344229e-02	1.326031e+03
2.398833e-02	1.226674e+03
2.454709e-02	1.146273e+03
2.511886e-02	1.079735e+03
2.570396e-02	1.023674e+03
2.630268e-02	9.757444e+02
2.691535e-02	9.342631e+02
2.754229e-02	8.979904e+02
2.818383e-02	8.659907e+02
2.884032e-02	8.375433e+02
2.951209e-02	8.120837e+02
3.019952e-02	7.891627e+02
3.090295e-02	7.684184e+02
3.162278e-02	7.495555e+02
3.235937e-02	7.323306e+02
3.311311e-02	7.165409e+02
3.388442e-02	7.020164e+02
3.467369e-02	6.886133e+02
3.548134e-02	6.762088e+02
3.630781e-02	6.646978e+02
3.715352e-02	6.539894e+02
3.801894e-02	6.440050e+02
3.890451e-02	6.346759e+02
3.981072e-02	6.259417e+02
4.073803e-02	6.177496e+02
4.168694e-02	6.100527e+02
4.265795e-02	6.028093e+02
4.365158e-02	5.959826e+02
4.466836e-02	5.895393e+02
4.570882e-02	5.834498e+02
4.677351e-02	5.776874e+02
4.786301e-02	5.722281e+02
4.897788e-02	5.670500e+02
5.011872e-02	5.621336e+02
5.128614e-02	5.574607e+02
5.248075e-02	5.530152e+02
5.370318e-02	5.487819e+02
5.495409e-02	5.447475e+02
5.623413e-02	5.408992e+02
5.754399e-02	5.372256e+02
5.888437e-02	5.337161e+02
6.025596e-02	5.303610e+02
6.165950e-02	5.271514e+02
6.309573e-02	5.240787e+02
6.456542e-02	5.208758e+02
6.606934e-02	5.173121e+02
6.760830e-02	5.131723e+02
6.918310e-02	5.082323e+02
7.079458e-02	5.022546e+02
7.244360e-02	4.949893e+02
7.413102e-02	4.861796e+02
7.585776e-02	4.755722e+02
7.762471e-02	4.629323e+02
7.943282e-02	4.480646e+02
8.128305e-02	4.310211e+02
8.317638e-02	4.129726e+02
8.511380e-02	3.944944e+02
8.709636e-02	3.759867e+02
8.912509e-02	3.577373e+02
9.120108e-02	3.399510e+02
9.332543e-02	3.227692e+02
9.549926e-02	3.062839e+02
9.772372e-02	2.845979e+02
1.000000e-01	2.563761e+02
1.023293e-01	2.294429e+02
1.047129e-01	2.058255e+02
1.071519e-01	1.857312e+02
1.096478e-01	1.691958e+02
1.122018e-01	1.556053e+02
1.148154e-01	1.431478e+02
1.174898e-01	1.311280e+02
1.202264e-01	1.161952e+02
1.230269e-01	8.685193e+01
1.258925e-01	6.179952e+01
1.288250e-01	4.882492e+01
1.318257e-01	4.178845e+01
1.348963e-01	3.725676e+01
1.380384e-01	3.405485e+01
1.412538e-01	3.167061e+01
1.445440e-01	2.978064e+01
1.479108e-01	2.820291e+01
1.513561e-01	2.686636e+01
1.548817e-01	2.571227e+01
1.584893e-01	2.469799e+01
1.621810e-01	2.379191e+01
1.659587e-01	2.297004e+01
1.698244e-01	2.221375e+01
1.737801e-01	2.150831e+01
1.778279e-01	2.084183e+01
1.819701e-01	2.018812e+01
1.862087e-01	1.951041e+01
1.905461e-01	1.877779e+01
1.949845e-01	1.796048e+01
1.995262e-01	1.703107e+01
2.041738e-01	1.596793e+01
2.089296e-01	1.465975e+01
2.137962e-01	1.301858e+01
2.187762e-01	1.104038e+01
2.238721e-01	8.207972e+00
2.290868e-01	4.937999e+00
2.344229e-01	3.684955e+00
2.398833e-01	3.100066e+00
2.454709e-01	2.743937e+00
2.511886e-01	2.497766e+00
2.570396e-01	2.316342e+00
2.630268e-01	2.177009e+00
2.691535e-01	2.066880e+00
2.754229e-01	1.977994e+00
2.818383e-01	1.905137e+00
2.884032e-01	1.844728e+00
2.951209e-01	1.794219e+00
3.019952e-01	1.751742e+00
3.090295e-01	1.715894e+00
3.162278e-01	1.685597e+00
3.235937e-01	1.660011e+00
3.311311e-01	1.638469e+00
3.388442e-01	1.620434e+00
3.467369e-01	1.605471e+00
3.548134e-01	1.593221e+00
3.630781e-01	1.583387e+00
3.715352e-01	1.575721e+00
3.801894e-01	1.570013e+00
3.890451e-01	1.566086e+00
3.981072e-01	1.563789e+00
4.073803e-01	1.562992e+00
4.168694e-01	1.563584e+00
4.265795e-01	1.565467e+00
4.365158e-01	1.568558e+00
4.466836e-01	1.572785e+00
4.570882e-01	1.578083e+00
4.677351e-01	1.584397e+00
4.786301e-01	1.591677e+00
4.897788e-01	1.599883e+00
5.011872e-01	1.608975e+00
5.128614e-01	1.618920e+00
5.248075e-01	1.629691e+00
5.370318e-01	1.641261e+00
5.495409e-01	1.653609e+00
5.623413e-01	1.666715e+00
5.754399e-01	1.680562e+00
5.888437e-01	1.695135e+00
6.025596e-01	1.710423e+00
6.165950e-01	1.726414e+00
6.309573e-01	1.743100e+00
6.456542e-01	1.760473e+00
6.606934e-01	1.778526e+00
6.760830e-01	1.797256e+00
6.918310e-01	1.816659e+00
7.079458e-01	1.836731e+00
7.244360e-01	1.857472e+00
7.413102e-01	1.878882e+00
7.585776e-01	1.900959e+00
7.762471e-01	1.923707e+00
7.943282e-01	1.947125e+00
8.128305e-01	1.971218e+00
8.317638e-01	1.995988e+00
8.511380e-01	2.021440e+00
8.709636e-01	2.047578e+00
8.912509e-01	2.074407e+00
9.120108e-01	2.101934e+00
9.332543e-01	2.130164e+00
9.549926e-01	2.159105e+00
9.772372e-01	2.188763e+00
1.000000e+00	2.219147e+00
1.011579e+00	2.234614e+00
1.023293e+00	2.250265e+00
1.035142e+00	2.266103e+00
1.047129e+00	2.282127e+00
1.059254e+00	2.298339e+00
1.071519e+00	2.314740e+00
1.083927e+00	2.331332e+00
1.096478e+00	2.348116e+00
1.109175e+00	2.365093e+00
1.122018e+00	2.382264e+00
1.135011e+00	2.399631e+00
1.148154e+00	2.417195e+00
1.161449e+00	2.434958e+00
1.174898e+00	2.452920e+00
1.188502e+00	2.471084e+00
1.202264e+00	2.489451e+00
1.216186e+00	2.508023e+00
1.230269e+00	2.526800e+00
1.244515e+00	2.545785e+00
1.258925e+00	2.564979e+00
1.273503e+00	2.584383e+00
1.288250e+00	2.604000e+00
1.303167e+00	2.623831e+00
1.318257e+00	2.643878e+00
1.333521e+00	2.664142e+00
1.348963e+00	2.684625e+00
1.364583e+00	2.705329e+00
1.380384e+00	2.726256e+00
1.396368e+00	2.747408e+00
1.412538e+00	2.768786e+00
1.428894e+00	2.790392e+00
1.445440e+00	2.812229e+00
1.462177e+00	2.834297e+00
1.479108e+00	2.856600e+00
1.496236e+00	2.879139e+00
1.513561e+00	2.901916e+00
1.531087e+00	2.924934e+00
1.548817e+00	2.948193e+00
1.566751e+00	2.971697e+00
1.584893e+00	2.995447e+00
1.603245e+00	3.019446e+00
1.621810e+00	3.043695e+00
1.640590e+00	3.068198e+00
1.659587e+00	3.092956e+00
1.678804e+00	3.117971e+00
1.698244e+00	3.143246e+00
1.717908e+00	3.168783e+00
1.737801e+00	3.194585e+00
1.757924e+00	3.220653e+00
1.778279e+00	3.246991e+00
1.798871e+00	3.273600e+00
1.819701e+00	3.300483e+00
1.840772e+00	3.327643e+00
1.862087e+00	3.355082e+00
1.883649e+00	3.382803e+00
1.905461e+00	3.410808e+00
1.927525e+00	3.439099e+00
1.949845e+00	3.467681e+00
1.972423e+00	3.496554e+00
1.995262e+00	3.525722e+00
2.018366e+00	3.555188e+00
2.041738e+00	3.584955e+00
2.065380e+00	3.615024e+00
2.089296e+00	3.645399e+00
2.113489e+00	3.676084e+00
