      Energy	InelasticMFP
        (eV)	        (nm)
7.852356e+00	9.599343e+05
7.943282e+00	2.685259e+05
8.035261e+00	2.151556e+05
8.128305e+00	2.070595e+05
8.222426e+00	2.047160e+05
8.317638e+00	2.041925e+05
8.413951e+00	2.045245e+05
8.511380e+00	2.053354e+05
8.609938e+00	2.064442e+05
8.709636e+00	2.077491e+05
8.810489e+00	2.091837e+05
8.912509e+00	2.106961e+05
9.015711e+00	2.121961e+05
9.120108e+00	2.125066e+05
9.225714e+00	2.081787e+05
9.332543e+00	1.901769e+05
9.440609e+00	1.457891e+05
9.549926e+00	8.746747e+04
9.660509e+00	5.070733e+04
9.772372e+00	3.162690e+04
9.885531e+00	2.117323e+04
1.000000e+01	1.489959e+04
1.011579e+01	1.091461e+04
1.023293e+01	8.248365e+03
1.035142e+01	6.398046e+03
1.047129e+01	5.060916e+03
1.059254e+01	4.077630e+03
1.071519e+01	3.330226e+03
1.083927e+01	2.755026e+03
1.096478e+01	2.303341e+03
1.109175e+01	1.942964e+03
1.122018e+01	1.651747e+03
1.135011e+01	1.413966e+03
1.148154e+01	1.217338e+03
1.161449e+01	1.048182e+03
1.174898e+01	8.960250e+02
1.188502e+01	7.575998e+02
1.202264e+01	6.330937e+02
1.216186e+01	5.217468e+02
1.230269e+01	4.290390e+02
1.244515e+01	3.557341e+02
1.258925e+01	2.978383e+02
1.273503e+01	2.526923e+02
1.288250e+01	2.170946e+02
1.303167e+01	1.888735e+02
1.318257e+01	1.663852e+02
1.333521e+01	1.482413e+02
1.348963e+01	1.332979e+02
1.364583e+01	1.206497e+02
1.380384e+01	1.097197e+02
1.396368e+01	1.001245e+02
1.412538e+01	9.156241e+01
1.428894e+01	8.387436e+01
1.445440e+01	7.692725e+01
1.462177e+01	7.062048e+01
1.479108e+01	6.490656e+01
1.496236e+01	5.979021e+01
1.513561e+01	5.518370e+01
1.531087e+01	5.108658e+01
1.548817e+01	4.743983e+01
1.566751e+01	4.416664e+01
1.584893e+01	4.122363e+01
1.603245e+01	3.858991e+01
1.621810e+01	3.619885e+01
1.640590e+01	3.403126e+01
1.659587e+01	3.206481e+01
1.678804e+01	3.025352e+01
1.698244e+01	2.860687e+01
1.717908e+01	2.707727e+01
1.737801e+01	2.567840e+01
1.757924e+01	2.437469e+01
1.778279e+01	2.317547e+01
1.798871e+01	2.205200e+01
1.819701e+01	2.101619e+01
1.840772e+01	2.003877e+01
1.862087e+01	1.913394e+01
1.883649e+01	1.828100e+01
1.905461e+01	1.748405e+01
